Company Name,Industry,Symbol,Series,ISIN Code
Affle (India) Ltd.,Information Technology,AFFLE,EQ,INE00WC01027
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024
Birlasoft Ltd.,Information Technology,BSOFT,EQ,INE836A01035
Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01017
Cyient Ltd.,Information Technology,CYIENT,EQ,INE136B01020
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,EQ,INE388Y01029
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027
Indiamart Intermesh Ltd.,Consumer Services,INDIAMART,EQ,INE933S01016
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020
Info Edge (India) Ltd.,Consumer Services,NAUKRI,EQ,INE663F01024
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021
Intellect Design Arena Ltd.,Information Technology,INTELLECT,EQ,INE306R01017
KPIT Technologies Ltd.,Information Technology,KPITTECH,EQ,INE04I401011
L&T Technology Services Ltd.,Information Technology,LTTS,EQ,INE010V01017
LTIMindtree Ltd.,Information Technology,LTIM,EQ,INE214T01019
MphasiS Ltd.,Information Technology,MPHASIS,EQ,INE356A01018
One 97 Communications Ltd.,Financial Services,PAYTM,EQ,INE982J01020
Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027
PB Fintech Ltd.,Financial Services,POLICYBZR,EQ,INE417T01026
Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,INE262H01021
Sonata Software Ltd.,Information Technology,SONATSOFTW,EQ,INE269A01021
Tanla Platforms Ltd.,Information Technology,TANLA,EQ,INE483C01032
Tata Communications Ltd.,Telecommunication,TATACOMM,EQ,INE151A01013
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029
Tata Elxsi Ltd.,Information Technology,TATAELXSI,EQ,INE670A01012
Tata Technologies Ltd.,Information Technology,TATATECH,EQ,INE142M01025
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036
Vodafone Idea Ltd.,Telecommunication,IDEA,EQ,INE669E01016
Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022
Zomato Ltd.,Consumer Services,ZOMATO,EQ,INE758T01015
