Company Name,Industry,Symbol,Series,ISIN Code
ACME Solar Holdings Ltd.,Financial Services,ACMESOLAR,EQ,INE622W01025
ASK Automotive Ltd.,Automobile and Auto Components,ASKAUTOLTD,EQ,INE491J01022
Aadhar Housing Finance Ltd.,Financial Services,AADHARHFC,EQ,INE883F01010
Aeroflex Industries Ltd.,Capital Goods,AEROFLEX,EQ,INE024001021
Afcons Infrastructure Ltd.,Construction,AFCONS,EQ,INE101I01011
Akme Fintrade (India) Ltd.,Financial Services,AFIL,EQ,INE916Y01019
Akums Drugs and Pharmaceuticals Ltd.,Healthcare,AKUMS,EQ,INE09XN01023
Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods,ABDL,EQ,INE552Z01027
Apeejay Surrendra Park Hotels Ltd.,Consumer Services,PARKHOTELS,EQ,INE988S01028
Arkade Developers Ltd.,Realty,ARKADE,EQ,INE0QRL01017
Awfis Space Solutions Ltd.,Services,AWFIS,EQ,INE108V01019
Azad Engineering Ltd.,Capital Goods,AZAD,EQ,INE02IJ01035
BLS E-Services Ltd.,Information Technology,BLSE,EQ,INE0NLT01010
Baazar Style Retail Ltd.,Consumer Services,STYLEBAAZA,EQ,INE01FR01028
Bajaj Housing Finance Ltd.,Financial Services,BAJAJHFL,EQ,INE377Y01014
Bansal Wire Industries Ltd.,Capital Goods,BANSALWIRE,EQ,INE0B9K01025
Bharti Hexacom Ltd.,Telecommunication,BHARTIHEXA,EQ,INE343G01021
Blue Jet Healthcare Ltd.,Healthcare,BLUEJET,EQ,INE0KBH01020
Brainbees Solutions Ltd.,Consumer Services,FIRSTCRY,EQ,INE02RE01045
Capital Small Finance Bank Ltd.,Financial Services,CAPITALSFB,EQ,INE646H01017
Ceigall India Ltd.,Construction,CEIGALL,EQ,INE0AG901020
Cello World Ltd.,Consumer Durables,CELLO,EQ,INE0LMW01024
Concord Biotech Ltd.,Healthcare,CONCORDBIO,EQ,INE338H01029
Credo Brands Marketing Ltd.,Consumer Services,MUFTI,EQ,INE220Q01020
