Company Name,Industry,Symbol,Series,ISIN Code
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024
Container Corporation of India Ltd.,Services,CONCOR,EQ,INE111A01025
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020
DLF Ltd.,Realty,DLF,EQ,INE271C01023
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,INE129A01019
Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,EQ,INE053A01029
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020
Indus Towers Ltd.,Telecommunication,INDUSTOWER,EQ,INE121J01017
InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027
Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030
MRF Ltd.,Automobile and Auto Components,MRF,EQ,INE883A01011
NTPC Ltd.,Power,NTPC,EQ,INE733E01010
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029
Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035
Shree Cement Ltd.,Construction Materials,SHREECEM,EQ,INE070A01015
Siemens Ltd.,Capital Goods,SIEMENS,EQ,INE003A01024
Tata Power Co. Ltd.,Power,TATAPOWER,EQ,INE245A01021
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,INE481G01011
