Company Name,Industry,Symbol,Series,ISIN Code
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025
Bandhan Bank Ltd.,Financial Services,BANDHANBNK,EQ,INE545U01014
Can Fin Homes Ltd.,Financial Services,CANFINHOME,EQ,INE477A01020
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011
Cholamandalam Financial Holdings Ltd.,Financial Services,CHOLAHLDNG,EQ,INE149A01033
City Union Bank Ltd.,Financial Services,CUB,EQ,INE491A01021
Computer Age Management Services Ltd.,Financial Services,CAMS,EQ,INE596I01012
Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025
IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB,EQ,INE092T01019
Indian Bank,Financial Services,INDIANB,EQ,INE562A01011
Indian Energy Exchange Ltd.,Financial Services,IEX,EQ,INE022Q01020
Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA,EQ,INE036D01028
L&T Finance Ltd.,Financial Services,LTF,EQ,INE498L01015
LIC Housing Finance Ltd.,Financial Services,LICHSGFIN,EQ,INE115A01026
Mahindra & Mahindra Financial Services Ltd.,Financial Services,M&MFIN,EQ,INE774D01024
Manappuram Finance Ltd.,Financial Services,MANAPPURAM,EQ,INE522D01027
Max Financial Services Ltd.,Financial Services,MFSL,EQ,INE180A01020
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01035
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,EQ,INE414G01012
One 97 Communications Ltd.,Financial Services,PAYTM,EQ,INE982J01020
PB Fintech Ltd.,Financial Services,POLICYBZR,EQ,INE417T01026
Piramal Enterprises Ltd.,Financial Services,PEL,EQ,INE140A01024
Poonawalla Fincorp Ltd.,Financial Services,POONAWALLA,EQ,INE511C01022
RBL Bank Ltd.,Financial Services,RBLBANK,EQ,INE976G01028
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD,EQ,INE018E01016
Sundaram Finance Ltd.,Financial Services,SUNDARMFIN,EQ,INE660A01013
Yes Bank Ltd.,Financial Services,YESBANK,EQ,INE528G01035
