Company Name,Industry,Symbol,Series,ISIN Code
360 ONE WAM Ltd.,Financial Services,360ONE,EQ,INE466L01038
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,EQ,INE647O01011
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015
Anant Raj Ltd.,Realty,ANANTRAJ,EQ,INE242C01024
Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01013
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011
BLS International Services Ltd.,Consumer Services,BLS,EQ,INE153T01027
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010
Bata India Ltd.,Consumer Durables,BATAINDIA,EQ,INE176A01028
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024
Blue Star Ltd.,Consumer Durables,BLUESTARCO,EQ,INE472A01039
Brigade Enterprises Ltd.,Realty,BRIGADE,EQ,INE791I01019
Cello World Ltd.,Consumer Durables,CELLO,EQ,INE0LMW01024
Chalet Hotels Ltd.,Consumer Services,CHALET,EQ,INE427F01016
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,EQ,INE299U01018
DLF Ltd.,Realty,DLF,EQ,INE271C01023
Devyani International Ltd.,Consumer Services,DEVYANI,EQ,INE872J01023
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020
EIH Ltd.,Consumer Services,EIHOTEL,EQ,INE230A01023
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,EQ,INE388Y01029
Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025
Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026
ICICI Securities Ltd.,Financial Services,ISEC,EQ,INE763G01038
Indiamart Intermesh Ltd.,Consumer Services,INDIAMART,EQ,INE933S01016
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,EQ,INE053A01029
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020
Info Edge (India) Ltd.,Consumer Services,NAUKRI,EQ,INE663F01024
InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027
Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD,EQ,INE797F01020
K.P.R. Mill Ltd.,Textiles,KPRMILL,EQ,INE930H01031
Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL,EQ,INE303R01014
Lemon Tree Hotels Ltd.,Consumer Services,LEMONTREE,EQ,INE970X01018
Macrotech Developers Ltd.,Realty,LODHA,EQ,INE670K01029
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026
Mahindra Lifespace Developers Ltd.,Realty,MAHLIFE,EQ,INE813A01018
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010
Metro Brands Ltd.,Consumer Durables,METROBRAND,EQ,INE317I01021
Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS,EQ,INE338I01027
Nippon Life India Asset Management Ltd.,Financial Services,NAM-INDIA,EQ,INE298J01013
Oberoi Realty Ltd.,Realty,OBEROIRLTY,EQ,INE093I01010
Olectra Greentech Ltd.,Automobile and Auto Components,OLECTRA,EQ,INE260D01016
One 97 Communications Ltd.,Financial Services,PAYTM,EQ,INE982J01020
PB Fintech Ltd.,Financial Services,POLICYBZR,EQ,INE417T01026
PVR INOX Ltd.,Media Entertainment & Publication,PVRINOX,EQ,INE191H01014
Page Industries Ltd.,Textiles,PAGEIND,EQ,INE761H01022
Phoenix Mills Ltd.,Realty,PHOENIXLTD,EQ,INE211B01039
Prestige Estates Projects Ltd.,Realty,PRESTIGE,EQ,INE811K01011
Rajesh Exports Ltd.,Consumer Durables,RAJESHEXPO,EQ,INE343B01030
Raymond Ltd.,Realty,RAYMOND,EQ,INE301A01014
Sapphire Foods India Ltd.,Consumer Services,SAPPHIRE,EQ,INE806T01020
Saregama India Ltd,Media Entertainment & Publication,SAREGAMA,EQ,INE979A01025
Sobha Ltd.,Realty,SOBHA,EQ,INE671H01015
Sun TV Network Ltd.,Media Entertainment & Publication,SUNTV,EQ,INE424H01027
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023
Tata Communications Ltd.,Telecommunication,TATACOMM,EQ,INE151A01013
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,EQ,INE155A01022
Tata Teleservices (Maharashtra) Ltd.,Telecommunication,TTML,EQ,INE517B01013
Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028
Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020
Trident Ltd.,Textiles,TRIDENT,EQ,INE064C01022
UTI Asset Management Company Ltd.,Financial Services,UTIAMC,EQ,INE094J01016
V-Guard Industries Ltd.,Consumer Durables,VGUARD,EQ,INE951I01027
V.I.P. Industries Ltd.,Consumer Durables,VIPIND,EQ,INE054A01027
Vardhman Textiles Ltd.,Textiles,VTL,EQ,INE825A01020
Vedant Fashions Ltd.,Consumer Services,MANYAVAR,EQ,INE825V01034
Vodafone Idea Ltd.,Telecommunication,IDEA,EQ,INE669E01016
Voltas Ltd.,Consumer Durables,VOLTAS,EQ,INE226A01021
Welspun Living Ltd.,Textiles,WELSPUNLIV,EQ,INE192B01031
Westlife Foodworld Ltd.,Consumer Services,WESTLIFE,EQ,INE274F01020
Whirlpool of India Ltd.,Consumer Durables,WHIRLPOOL,EQ,INE716A01013
Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL,EQ,INE256A01028
Zomato Ltd.,Consumer Services,ZOMATO,EQ,INE758T01015
