Company Name,Industry,Symbol,Series,ISIN Code
BLS International Services Ltd.,Consumer Services,BLS,EQ,INE153T01027
Chalet Hotels Ltd.,Consumer Services,CHALET,EQ,INE427F01016
Devyani International Ltd.,Consumer Services,DEVYANI,EQ,INE872J01023
EIH Ltd.,Consumer Services,EIHOTEL,EQ,INE230A01023
Easy Trip Planners Ltd.,Consumer Services,EASEMYTRIP,EQ,INE07O001026
GMR Airports Infrastructure Ltd.,Services,GMRINFRA,EQ,INE776C01039
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,EQ,INE053A01029
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020
InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027
Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD,EQ,INE797F01020
Lemon Tree Hotels Ltd.,Consumer Services,LEMONTREE,EQ,INE970X01018
Mahindra Holidays & Resorts India Ltd.,Consumer Services,MHRIL,EQ,INE998I01010
Restaurant Brands Asia Ltd.,Consumer Services,RBA,EQ,INE07T201019
Safari Industries (India) Ltd.,Consumer Durables,SAFARI,EQ,INE429E01023
Sapphire Foods India Ltd.,Consumer Services,SAPPHIRE,EQ,INE806T01012
V.I.P. Industries Ltd.,Consumer Durables,VIPIND,EQ,INE054A01027
Westlife Foodworld Ltd.,Consumer Services,WESTLIFE,EQ,INE274F01020
