Vendor,Exchange,TrueDataID
5Paisa,N@C@999920000,200000001
5Paisa,N@C@999920003,200000006
5Paisa,N@C@999920019,200000011
5Paisa,N@C@999920005,200000004
5Paisa,N@C@999920006,200000007
5Paisa,N@C@999920008,200000002
5Paisa,N@C@999920009,200000009
5Paisa,N@C@999920010,200000008
5Paisa,N@C@999920011,200000010
5Paisa,N@C@999920012,200000012
5Paisa,N@C@999920013,200000013
5Paisa,N@C@999920014,200000014
5Paisa,N@C@999920015,200000015
5Paisa,N@C@999920016,200000016
5Paisa,N@C@999920017,200000017
5Paisa,N@C@999920018,200000018
5Paisa,N@C@999920021,200000023
5Paisa,N@C@999920024,200000038
5Paisa,N@C@999920025,200000039
5Paisa,N@C@999920027,200000040
5Paisa,N@C@999920028,200000041
5Paisa,N@C@999920029,200000042
5Paisa,N@C@999920030,200000043
5Paisa,N@C@999920031,200000044
5Paisa,N@C@999920032,200000045
5Paisa,N@C@999920033,200000046
5Paisa,N@C@999920039,200000030
5Paisa,N@C@999920040,200000019
5Paisa,N@C@999920042,200000021
5Paisa,N@C@999920043,200000065
5Paisa,N@C@999920044,200000022
5Paisa,N@C@999920045,200000052
5Paisa,N@C@999920046,200000053
5Paisa,N@C@999920047,200000054
5Paisa,N@C@999920048,200000005
5Paisa,N@C@999920052,200000051
5Paisa,N@C@999920053,200000066
5Paisa,N@C@999920055,200000050
5Paisa,N@C@999920056,200000056
5Paisa,N@C@999920058,200000048
5Paisa,N@C@999920059,200000069
5Paisa,N@C@999920060,200000049
5Paisa,N@C@999920061,200000037
5Paisa,N@C@999920062,200000055
5Paisa,N@C@999920063,200000047
5Paisa,N@C@999920064,200000057
5Paisa,N@C@999920065,200000058
5Paisa,N@C@999920066,200000059
5Paisa,N@C@999920067,200000028
5Paisa,N@C@999920075,200000020
5Paisa,N@C@999920041,200000027
5Paisa,B@C@999901,400000001
5Paisa,B@C@999903,400000012
5Paisa,B@C@999943,400000047
AngelOne,NSE@CM@999920000,200000001
AngelOne,NSE@CM@999920003,200000006
AngelOne,NSE@CM@999920005,200000004
AngelOne,NSE@CM@999920006,200000007
AngelOne,NSE@CM@999920008,200000002
AngelOne,NSE@CM@999920009,200000009
AngelOne,NSE@CM@999920010,200000008
AngelOne,NSE@CM@999920011,200000010
AngelOne,NSE@CM@999920012,200000012
AngelOne,NSE@CM@999920013,200000013
AngelOne,NSE@CM@999920014,200000014
AngelOne,NSE@CM@999920015,200000015
AngelOne,NSE@CM@999920016,200000016
AngelOne,NSE@CM@999920017,200000017
AngelOne,NSE@CM@999920018,200000018
AngelOne,NSE@CM@999920019,200000011
AngelOne,NSE@CM@999920021,200000023
AngelOne,NSE@CM@999920024,200000038
AngelOne,NSE@CM@999920025,200000039
AngelOne,NSE@CM@999920027,200000040
AngelOne,NSE@CM@999920028,200000041
AngelOne,NSE@CM@999920029,200000042
AngelOne,NSE@CM@999920030,200000043
AngelOne,NSE@CM@999920031,200000044
AngelOne,NSE@CM@999920032,200000045
AngelOne,NSE@CM@999920033,200000046
AngelOne,NSE@CM@999920039,200000030
AngelOne,NSE@CM@999920040,200000019
AngelOne,NSE@CM@999920042,200000021
AngelOne,NSE@CM@999920043,200000065
AngelOne,NSE@CM@999920044,200000022
AngelOne,NSE@CM@999920045,200000052
AngelOne,NSE@CM@999920046,200000053
AngelOne,NSE@CM@999920047,200000054
AngelOne,NSE@CM@999920048,200000005
AngelOne,NSE@CM@999920052,200000051
AngelOne,NSE@CM@999920053,200000066
AngelOne,NSE@CM@999920055,200000050
AngelOne,NSE@CM@999920056,200000056
AngelOne,NSE@CM@999920058,200000048
AngelOne,NSE@CM@999920059,200000069
AngelOne,NSE@CM@999920060,200000049
AngelOne,NSE@CM@999920061,200000037
AngelOne,NSE@CM@999920062,200000055
AngelOne,NSE@CM@999920063,200000047
AngelOne,NSE@CM@999920064,200000057
AngelOne,NSE@CM@999920065,200000058
AngelOne,NSE@CM@999920066,200000059
AngelOne,NSE@CM@999920067,200000028
AngelOne,NSE@CM@999920041,200000027
AngelOne,BSE@CM@999901,400000001
AngelOne,BSE@CM@999903,400000012
AngelOne,BSE@CM@999982,400000082
Dhan,NSE_EQ@123450013@Normal,200000001
Dhan,NSE_EQ@123450025@Normal,200000004
Dhan,NSE_EQ@12345001@Normal,200000051
Dhan,NSE_EQ@123450010@Normal,200000048
Dhan,NSE_EQ@123450011@Normal,200000049
Dhan,NSE_EQ@123450012@Normal,200000050
Dhan,NSE_EQ@123450014@Normal,200000019
Dhan,NSE_EQ@123450015@Normal,200000039
Dhan,NSE_EQ@123450016@Normal,200000038
Dhan,NSE_EQ@123450017@Normal,200000007
Dhan,NSE_EQ@123450018@Normal,200000023
Dhan,NSE_EQ@123450019@Normal,200000006
Dhan,NSE_EQ@123450020@Normal,200000008
Dhan,NSE_EQ@123450021@Normal,200000011
